Pos,Title,Author,Imprint,Volume,"Value, £"
64,Memoirs of a Geisha,"Golden, Arthur",Vintage,"766,706","5,143,233.76"
65,Delia's How to Cook:(Bk.2),"Smith, Delia",BBC Books (Random House),"765,246","8,788,133.69"
66,"Subtle Knife,The:His Dark Materials S.","Pullman, Philip",Point,"762,717","4,335,233.24"
67,Jamie's Ministry of Food:Anyone Can Learn to Cook in 24 Hours,"Oliver, Jamie",Michael Joseph,"759,900","9,602,472.40"
68,Guinness World Records 2009:2009,,Guinness World Records,"747,715","7,369,687.78"
69,Why Don't Penguins' Feet Freeze?:And 114 Other Questions,,Profile Books,"746,917","3,792,483.43"
70,Jamie at Home:Cook Your Way to the Good Life,"Oliver, Jamie",Michael Joseph,"741,643","10,695,848.54"
71,White Teeth,"Smith, Zadie",Penguin Books,"731,416","4,601,032.02"
72,"Devil Wears Prada,The","Weisberger, Lauren",HarperCollins Publishers,"725,210","4,077,326.77"
73,At My Mother's Knee ...:and Other Low Joints,"O'Grady, Paul",Bantam Press,"723,164","7,115,648.91"
74,No Time for Goodbye,"Barclay, Linwood",Orion (an Imprint of The Orion,"722,103","3,833,775.63"
75,"""Times"" Su Doku,The:The Utterly Addictive Number-placing Puzzle:(Bk. 1",,Times Books,"719,307","3,532,794.40"
76,Chocolat,"Harris, Joanne",Black Swan,"713,299","4,526,189.31"
77,"Return of the Naked Chef,The","Oliver, Jamie",Michael Joseph,"707,570","11,156,890.07"
78,Angela's Ashes:A Memoir of a Childhood,"McCourt, Frank",Flamingo,"694,831","5,231,219.60"
79,Schott's Original Miscellany,"Schott, Ben",Bloomsbury Pub PLC,"694,063","6,483,193.57"
80,Dreams from My Father:A Story of Race and Inheritance,"Obama, Barack",Canongate Books,"690,765","4,575,110.01"
81,"Dangerous Book for Boys,The","Iggulden, Conn & Iggulden, Hal",HarperCollins Publishers,"688,808","8,765,298.70"
82,To Kill a Mockingbird,"Lee, Harper",Arrow Books,"682,102","3,637,436.79"
83,Harry Potter and the Half-blood Prince,"Rowling, J. K.",Bloomsbury Pub PLC,"680,886","6,506,995.60"
84,"Summons,The","Grisham, John",Arrow Books,"677,378","3,706,035.02"
85,"Lost Symbol,The","Brown, Dan",Corgi Books,"672,950","2,854,411.91"
86,"Catcher in the Rye,The","Salinger, J.D.",Penguin Books,"668,497","4,474,363.25"
87,I Can Make You Thin,"McKenna, Paul",Bantam Press,"665,923","5,131,848.43"
