Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Adil,6.0,,5.0,7.0,,,,,8.0,,
Adin,6.0,18.0,12.0,19.0,9.0,15.0,13.0,15.0,9.0,9.0,10.0
Adit,,,5.0,,,,,5.0,,,
Adithya,8.0,11.0,,7.0,5.0,5.0,,,5.0,,
Aditya,51.0,54.0,53.0,45.0,68.0,59.0,51.0,48.0,43.0,40.0,41.0
Adler,,,9.0,7.0,,,13.0,7.0,9.0,16.0,11.0
Adnan,5.0,,10.0,5.0,7.0,6.0,,9.0,,,8.0
Adolfo,117.0,133.0,111.0,96.0,104.0,59.0,50.0,54.0,50.0,46.0,36.0
Adon,,,,5.0,,,,,,5.0,
Adonai,5.0,5.0,9.0,7.0,7.0,7.0,8.0,,,8.0,7.0
Adonay,,,5.0,,6.0,,8.0,,5.0,6.0,
Adonis,31.0,26.0,25.0,34.0,24.0,24.0,33.0,29.0,39.0,36.0,47.0
Adrain,,6.0,,,,,,,,,
Adrean,7.0,,8.0,,7.0,,,5.0,,,
Adrian,1830.0,1940.0,2120.0,2146.0,2137.0,2100.0,1971.0,1815.0,1793.0,1677.0,1573.0
Adriano,11.0,13.0,17.0,18.0,20.0,16.0,11.0,16.0,18.0,10.0,15.0
Adrick,,,,,,,,,5.0,,
Adriel,47.0,51.0,45.0,83.0,80.0,80.0,110.0,119.0,95.0,115.0,135.0
Adrien,39.0,48.0,35.0,43.0,49.0,64.0,45.0,52.0,56.0,43.0,36.0
Adrik,6.0,,5.0,,,,,,,,
Adryan,11.0,7.0,,11.0,6.0,12.0,,,7.0,9.0,
Advait,,,5.0,6.0,,6.0,,,,9.0,8.0
Advaith,,,,6.0,6.0,12.0,7.0,5.0,12.0,10.0,10.0
Advay,,,,,,,7.0,7.0,,5.0,11.0
Advik,,,,,,6.0,,7.0,12.0,16.0,17.0
Advith,,,,,,,,,,,5.0
Adyan,,,,,,,5.0,,,,
Adyn,7.0,8.0,9.0,6.0,,12.0,,,,7.0,
Aedan,15.0,18.0,26.0,26.0,27.0,36.0,25.0,29.0,7.0,19.0,17.0
Aeden,,6.0,,9.0,14.0,19.0,7.0,6.0,9.0,5.0,
Aedyn,,,,,5.0,,,,,6.0,6.0
Aeneas,10.0,7.0,6.0,,,,,,,,
Aero,,,,,,,,,,5.0,5.0
Aeron,,,,,7.0,,,,,,5.0
Aeson,,,,,,,,,7.0,,5.0
Agam,,,,,,,,5.0,,,7.0
Agastya,,,,,7.0,9.0,,7.0,6.0,11.0,10.0
Agustin,104.0,77.0,102.0,99.0,76.0,80.0,73.0,64.0,65.0,51.0,65.0
Agustine,,,5.0,,,,,,,5.0,
Ahaan,,,,,,,5.0,,7.0,9.0,6.0
Ahan,,,,,,,,,6.0,,
Aharon,,,,9.0,,,,6.0,7.0,,
Ahmad,48.0,51.0,42.0,34.0,38.0,47.0,36.0,38.0,39.0,32.0,37.0
Ahmari,5.0,,,5.0,,,,,,6.0,
Ahmed,27.0,34.0,41.0,42.0,33.0,32.0,29.0,39.0,37.0,41.0,33.0
Ahmir,,,,6.0,,,10.0,5.0,5.0,7.0,10.0
