Lenovo,IdeaPad 520-15IKB 80YL00RXIN ,windows
Asus,X540YA-XO290D,linux
Asus,P2420SA,linux
Asus,X540LA-XX596D,linux
Asus,X541UA-GO1345D,linux
Asus,A555LF,windows
Asus,X555LA-XX172D,linux
Asus,X554LD,linux
Asus,X550LAV-XX771D,linux
Asus,X540LA-XX538T,windows
