Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Adamari,22.0,31.0,45.0,25.0,24.0,13.0,26.0,23.0,24.0,17.0,10.0
Adamaris,35.0,42.0,71.0,69.0,42.0,46.0,40.0,35.0,23.0,27.0,14.0
Adamariz,,,11.0,6.0,,,,,,,
Adamary,19.0,14.0,12.0,12.0,9.0,10.0,6.0,9.0,10.0,,
Adamarys,,,,6.0,,,,,,,
Adanely,,,,,,,,,8.0,,
Adanna,,,5.0,,,,,,,,
Adara,9.0,5.0,6.0,7.0,6.0,7.0,,11.0,12.0,8.0,9.0
Adaya,,,,,,10.0,7.0,12.0,,,
Adayah,,,,,6.0,,,,,,
Addalyn,,,,,,,6.0,6.0,5.0,11.0,12.0
Addalynn,,,,,,,6.0,,,,7.0
Addelyn,,,,,,9.0,9.0,7.0,10.0,14.0,11.0
Addie,6.0,10.0,,7.0,8.0,7.0,,12.0,10.0,11.0,13.0
Addilyn,,,,,,5.0,13.0,12.0,18.0,19.0,28.0
Addilynn,,,,,,,,,,13.0,9.0
Addis,5.0,,,,,,,,,,
Addisen,,,,14.0,7.0,6.0,8.0,8.0,6.0,,
Addison,87.0,101.0,321.0,615.0,557.0,544.0,608.0,572.0,529.0,492.0,481.0
Addisyn,6.0,8.0,19.0,25.0,25.0,45.0,35.0,45.0,36.0,35.0,31.0
Addy,,,,6.0,,,,,,,
Addysen,,,,,9.0,7.0,9.0,7.0,10.0,,
Addyson,9.0,16.0,23.0,63.0,62.0,62.0,70.0,69.0,74.0,56.0,37.0
Adeena,,,,,,,,,,,5.0
Adel,,,,,,,,,9.0,,
Adela,25.0,40.0,31.0,43.0,29.0,39.0,23.0,25.0,44.0,47.0,37.0
Adelaida,8.0,6.0,9.0,8.0,7.0,13.0,9.0,9.0,8.0,,9.0
Adelaide,18.0,27.0,24.0,38.0,52.0,43.0,56.0,48.0,84.0,84.0,81.0
Adelaine,,,,,,,,,5.0,,5.0
Adelayda,,5.0,,,,,,,,,
Adele,15.0,7.0,9.0,9.0,16.0,19.0,23.0,61.0,91.0,67.0,50.0
Adelene,,6.0,,6.0,5.0,,,,,7.0,
Adelia,,6.0,,8.0,6.0,8.0,9.0,9.0,9.0,8.0,9.0
Adelie,,,,,,,,5.0,,6.0,
Adelin,,5.0,,5.0,,8.0,,,5.0,5.0,
Adelina,33.0,29.0,45.0,46.0,42.0,36.0,59.0,67.0,72.0,92.0,95.0
Adeline,51.0,49.0,60.0,91.0,99.0,97.0,112.0,103.0,160.0,155.0,211.0
Adella,,,7.0,,,7.0,6.0,9.0,16.0,7.0,15.0
Adelle,7.0,9.0,9.0,5.0,5.0,12.0,17.0,20.0,17.0,12.0,14.0
Adelyn,10.0,11.0,5.0,22.0,29.0,50.0,53.0,59.0,100.0,126.0,149.0
Adelyne,5.0,,5.0,5.0,,,,7.0,5.0,7.0,
Adelynn,12.0,6.0,11.0,16.0,18.0,19.0,31.0,47.0,69.0,61.0,126.0
Adelynne,,,,,,,,,,5.0,8.0
Aden,,,,6.0,,,,,,,
Adena,,,,,,,,5.0,,,
Adhara,,,,,,,,,,,5.0
Adhya,,,,,,,6.0,5.0,,9.0,
Adi,5.0,5.0,,7.0,6.0,,9.0,10.0,7.0,7.0,
Adia,6.0,9.0,8.0,12.0,12.0,5.0,,,5.0,,
Adiana,,,,,,,,,6.0,,
Adilene,62.0,82.0,99.0,58.0,71.0,62.0,47.0,57.0,58.0,64.0,92.0
Adilyn,,,,5.0,,,8.0,,12.0,10.0,9.0
Adilynn,,,,,,6.0,,7.0,9.0,5.0,14.0
Adina,9.0,8.0,14.0,10.0,14.0,15.0,11.0,11.0,10.0,10.0,15.0
Adira,,,,,,,,,,5.0,
Adison,5.0,9.0,18.0,26.0,27.0,9.0,15.0,8.0,8.0,6.0,7.0
Adisyn,,,7.0,7.0,8.0,9.0,,6.0,,,
Adithi,,7.0,,5.0,,,,5.0,,,
Aditi,20.0,28.0,19.0,47.0,44.0,26.0,39.0,32.0,39.0,29.0,21.0
Adley,,,,,,,,,15.0,,10.0
Adora,5.0,5.0,8.0,9.0,5.0,5.0,6.0,6.0,6.0,9.0,6.0
Adreana,,6.0,,,,,,,,,
Adreanna,6.0,,5.0,,,,,,,,
Adreena,,5.0,,,,,,,5.0,,
Adria,9.0,8.0,10.0,,9.0,7.0,6.0,6.0,,5.0,5.0
Adrian,10.0,12.0,13.0,18.0,13.0,8.0,6.0,13.0,11.0,7.0,7.0
Adriana,564.0,493.0,547.0,462.0,430.0,408.0,409.0,286.0,286.0,252.0,228.0
Adriane,,8.0,,,,,,,,,
Adrianna,127.0,126.0,154.0,174.0,149.0,137.0,121.0,119.0,113.0,91.0,88.0
Adrianne,9.0,18.0,17.0,7.0,10.0,6.0,19.0,9.0,5.0,6.0,
Adriel,,,,,,,,,,,5.0
Adrielle,,,,,,,8.0,,9.0,,6.0
Adrienne,28.0,29.0,31.0,38.0,28.0,48.0,47.0,41.0,40.0,32.0,36.0
Adrina,14.0,13.0,17.0,19.0,17.0,17.0,19.0,19.0,31.0,18.0,6.0
Adryana,,,5.0,,,,,,,,
Advika,,5.0,,,,7.0,8.0,8.0,7.0,7.0,
Adya,,,,,,,6.0,,,8.0,
Adylene,,7.0,11.0,9.0,,5.0,5.0,,10.0,9.0,9.0
Adyline,,,,,,,,5.0,,,
Adysen,,,,5.0,,,,,,,
