Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Ahaan,,,,,,,,,,5.0,
Ahad,5.0,8.0,,,,6.0,,,,,
Aharon,25.0,11.0,24.0,22.0,16.0,33.0,30.0,28.0,21.0,28.0,26.0
Ahmad,36.0,38.0,31.0,40.0,33.0,39.0,30.0,26.0,41.0,33.0,34.0
Ahmadou,,,,,,,6.0,,,,
Ahmari,,,,,5.0,,5.0,6.0,,7.0,
Ahmed,70.0,67.0,73.0,56.0,62.0,59.0,71.0,79.0,76.0,82.0,70.0
Ahmet,,,5.0,5.0,6.0,,7.0,,,,
Ahmir,,8.0,6.0,9.0,7.0,11.0,11.0,14.0,6.0,9.0,5.0
Ahnaf,,5.0,5.0,5.0,,7.0,10.0,10.0,10.0,13.0,11.0
Ahren,,,,,,,,,5.0,,
Ahron,6.0,8.0,10.0,8.0,11.0,14.0,13.0,25.0,14.0,14.0,7.0
Ahsan,,,,,,,,6.0,5.0,7.0,9.0
Aidan,727.0,788.0,758.0,663.0,620.0,527.0,388.0,326.0,269.0,251.0,202.0
Aidden,,,,,,,,,5.0,,
Aiden,376.0,459.0,580.0,703.0,817.0,934.0,987.0,1077.0,1043.0,947.0,899.0
Aidin,,6.0,,6.0,,,6.0,,,,
Aidyn,8.0,6.0,14.0,13.0,14.0,16.0,23.0,9.0,10.0,8.0,10.0
Aitan,,,,,5.0,,,,,,
Aiyden,,,,,,,,5.0,6.0,,
Aj,,5.0,,,,,,,6.0,,
Ajani,18.0,11.0,19.0,18.0,16.0,24.0,6.0,12.0,15.0,11.0,
Ajay,17.0,14.0,13.0,15.0,16.0,18.0,11.0,16.0,6.0,11.0,10.0
Ajdin,,,,,6.0,,5.0,,,,
Akash,7.0,9.0,10.0,,6.0,8.0,5.0,5.0,,,
Akeem,14.0,7.0,7.0,10.0,11.0,10.0,7.0,8.0,12.0,8.0,10.0
Akhil,,5.0,,,,,,7.0,,,
Akil,6.0,7.0,,,,,,7.0,,,5.0
Akira,,,,5.0,,,,,5.0,5.0,5.0
Akiva,22.0,34.0,19.0,29.0,37.0,27.0,32.0,35.0,27.0,42.0,36.0
Akram,,6.0,6.0,,6.0,,5.0,,5.0,,
Aksel,,,,,,,7.0,5.0,6.0,,
Akshaj,,,,,,,5.0,,,,
