,Baseball,Soccer,Basketball (M),Basketball (W),Volleyball
2009,11562,10983,4152,1206,147100
2010,11402,12873,3870,705,1472
2011,13055,10709,3955,1445,1774
2012,13747,7157,4537,1150,1744
2013,11373,7656,4092,1237,1525
2014,11429,8115,4458,1417,1967
2015,10357,7720,3953,1480,2311
2016,11583,7854,3543,1425,2336
2017,11668,6502,3188,1097,2425
