,출시일,디스플레이,메모리,출시 버전,무게,Face ID
iPhone 7,2016-09-16,4.7,2GB,iOS 10.0,138,No
iPhone 7 Plus,2016-09-16,5.5,3GB,iOS 10.0,188,No
iPhone 8,2017-09-22,4.7,2GB,iOS 11.0,148,No
iPhone 8 Plus,2017-09-22,5.5,3GB,iOS 11.0,202,No
iPhone X,2017-11-03,5.8,3GB,iOS 11.1,174,Yes
iPhone XS,2018-09-21,5.8,4GB,iOS 12.0,177,Yes
iPhone XS Max,2018-09-21,6.5,4GB,iOS 12.0,208,Yes
iPhone XR,2018-10-26,6.1,3GB,iOS 12.0.1,194,Yes
