,Pos,Title,Author,Imprint,Volume,"Value, £"
67,68,Guinness World Records 2009:2009,,Guinness World Records,747715,7369687.78
68,69,Why Don't Penguins' Feet Freeze?:And 114 Other Questions,,Profile Books,746917,3792483.43
69,70,Jamie at Home:Cook Your Way to the Good Life,"Oliver, Jamie",Michael Joseph,741643,10695848.54
70,71,White Teeth,"Smith, Zadie",Penguin Books,731416,4601032.02
71,72,"Devil Wears Prada,The","Weisberger, Lauren",HarperCollins Publishers,725210,4077326.77
72,73,At My Mother's Knee ...:and Other Low Joints,"O'Grady, Paul",Bantam Press,723164,7115648.91
73,74,No Time for Goodbye,"Barclay, Linwood",Orion (an Imprint of The Orion,722103,3833775.63
74,75,"""Times"" Su Doku,The:The Utterly Addictive Number-placing Puzzle:(Bk. 1",,Times Books,719307,3532794.40
75,76,Chocolat,"Harris, Joanne",Black Swan,713299,4526189.31
76,77,"Return of the Naked Chef,The","Oliver, Jamie",Michael Joseph,707570,11156890.07
77,78,Angela's Ashes:A Memoir of a Childhood,"McCourt, Frank",Flamingo,694831,5231219.60
78,79,Schott's Original Miscellany,"Schott, Ben",Bloomsbury Pub PLC,694063,6483193.57
79,80,Dreams from My Father:A Story of Race and Inheritance,"Obama, Barack",Canongate Books,690765,4575110.01
80,81,"Dangerous Book for Boys,The","Iggulden, Conn & Iggulden, Hal",HarperCollins Publishers,688808,8765298.70
81,82,To Kill a Mockingbird,"Lee, Harper",Arrow Books,682102,3637436.79
82,83,Harry Potter and the Half-blood Prince,"Rowling, J. K.",Bloomsbury Pub PLC,680886,6506995.60
83,84,"Summons,The","Grisham, John",Arrow Books,677378,3706035.02
84,85,"Lost Symbol,The","Brown, Dan",Corgi Books,672950,2854411.91
85,86,"Catcher in the Rye,The","Salinger, J.D.",Penguin Books,668497,4474363.25
86,87,I Can Make You Thin,"McKenna, Paul",Bantam Press,665923,5131848.43
87,88,Happy Days with the Naked Chef,"Oliver, Jamie",Michael Joseph,659722,8969623.21
88,89,Brick Lane,"Ali, Monica",Black Swan,659023,4182105.62
89,90,Anybody Out There?,"Keyes, Marian",Penguin Books,658713,3401795.62
90,91,"Undomestic Goddess,The","Kinsella, Sophie",Black Swan,658598,3277738.43
91,92,"Book Thief,The","Zusak, Markus",Black Swan,658524,3699537.68
92,93,I Know You Got Soul,"Clarkson, Jeremy",Penguin Books,658274,3586065.99
93,94,Sharon Osbourne Extreme:My Autobiography,"Osbourne, Sharon",Time Warner Books,656431,7086434.17
94,95,Guinness World Records 2010,,Guinness World Records,656326,6181945.47
95,96,"Amber Spyglass,The:His Dark Materials S.","Pullman, Philip",Point,653615,3797459.74
96,97,Can You Keep a Secret?,"Kinsella, Sophie",Black Swan,652788,3722312.19
97,98,Down Under,"Bryson, Bill",Black Swan,646515,4628013.69
98,99,"Spot of Bother,A","Haddon, Mark",Vintage,645453,3949459.94
99,100,Dear Fatty,"French, Dawn",Century,643636,6330572.88
